Name,Version,Architecture,Description
libgcr-3-common,3.18.0-1ubuntu1,all,Library for Crypto UI related tasks - common files
libgcr-base-3-1:amd64,3.18.0-1ubuntu1,amd64,Library for Crypto related tasks
libgcr-ui-3-1:amd64,3.18.0-1ubuntu1,amd64,Library for Crypto UI related tasks
libgcrypt20:amd64,1.6.5-2ubuntu0.4,amd64,LGPL Crypto library - runtime library
libgd3:amd64,2.1.1-4ubuntu0.16.04.8,amd64,GD Graphics Library
libgdata-common,0.17.4-1,all,Library for accessing GData webservices - common data files
libgdata22:amd64,0.17.4-1,amd64,Library for accessing GData webservices - shared libraries
libgdbm3:amd64,1.8.3-13.1,amd64,GNU dbm database routines (runtime version)
libgdk-pixbuf2.0-0:amd64,2.32.2-1ubuntu1.4,amd64,GDK Pixbuf library
libgdk-pixbuf2.0-common,2.32.2-1ubuntu1.4,all,GDK Pixbuf library - data files
libgee-0.8-2:amd64,0.18.0-1,amd64,GObject based collection and utility library
libgeis1:amd64,2.2.17+16.04.20160126-0ubuntu1,amd64,Gesture engine interface support
libgeoclue0:amd64,0.12.99-4ubuntu1,amd64,C API for GeoClue
libgeocode-glib0:amd64,3.18.2-1,amd64,geocoding and reverse geocoding GLib library using Nominatim
libgeoip1:amd64,1.6.9-1,amd64,non-DNS IP-to-country resolver library
libgeonames0:amd64,0.2+16.04.20160321-0ubuntu1,amd64,Parse and query the geonames database dump
libgettextpo-dev:amd64,0.19.7-2ubuntu3,amd64,GNU Internationalization library development files
libgettextpo0:amd64,0.19.7-2ubuntu3,amd64,GNU Internationalization library
libgexiv2-2:amd64,0.10.3-2,amd64,GObject-based wrapper around the Exiv2 library
libgirepository-1.0-1:amd64,1.46.0-3ubuntu1,amd64,Library for handling GObject introspection data (runtime library)
libgl1-mesa-dri:amd64,17.2.8-0ubuntu0~16.04.1,amd64,free implementation of the OpenGL API -- DRI modules
libgl1-mesa-glx:amd64,17.2.8-0ubuntu0~16.04.1,amd64,free implementation of the OpenGL API -- GLX runtime
libglapi-mesa:amd64,17.2.8-0ubuntu0~16.04.1,amd64,free implementation of the GL API -- shared library
libglew1.13:amd64,1.13.0-2,amd64,OpenGL Extension Wrangler - runtime environment
libglewmx1.13:amd64,1.13.0-2,amd64,OpenGL Extension Wrangler (Multiple Rendering Contexts)
libglib-perl,3:1.320-2,amd64,interface to the GLib and GObject libraries
libglib2.0-0:amd64,2.48.2-0ubuntu1,amd64,GLib library of C routines
libglib2.0-bin,2.48.2-0ubuntu1,amd64,Programs for the GLib library
libglib2.0-data,2.48.2-0ubuntu1,all,Common files for GLib library
libglibmm-2.4-1v5:amd64,2.46.3-1,amd64,C++ wrapper for the GLib toolkit (shared libraries)
libglu1-mesa:amd64,9.0.0-2.1,amd64,Mesa OpenGL utility library (GLU)
libgmime-2.6-0:amd64,2.6.20-1,amd64,MIME message parser and creator library - runtime
libgmp10:amd64,2:6.1.0+dfsg-2,amd64,Multiprecision arithmetic library
libgnome-bluetooth13:amd64,3.18.2-1ubuntu2,amd64,GNOME Bluetooth tools - support library
libgnome-desktop-3-12:amd64,3.18.2-1ubuntu1,amd64,Utility library for loading .desktop files - runtime files
libgnome-keyring-common,3.12.0-1build1,all,GNOME keyring services library - data files
libgnome-keyring0:amd64,3.12.0-1build1,amd64,GNOME keyring services library
libgnome-menu-3-0:amd64,3.13.3-6ubuntu3.1,amd64,GNOME implementation of the freedesktop menu specification
libgnomekbd-common,3.6.0-1ubuntu2,all,GNOME library to manage keyboard configuration - common files
libgnomekbd8:amd64,3.6.0-1ubuntu2,amd64,GNOME library to manage keyboard configuration - shared library
libgnutls-openssl27:amd64,3.4.10-4ubuntu1.4,amd64,GNU TLS library - OpenSSL wrapper
